extractor,vocabulary_size,kmeans_iterations,svm_iterations,accuracy,confusion_matrix
SIFT,100,100,1000,0.5113333333333333,"[[15.  3.  1.  3. 11.  4.  1. 35.  2.  6.  3.  8.  2.  1.  5.]
 [ 5. 55.  0. 10.  0.  1.  0.  1. 12.  0. 14.  0.  2.  0.  0.]
 [ 0.  0. 87.  0.  0.  0.  0.  0.  5.  0.  6.  1.  0.  1.  0.]
 [ 1. 19.  0. 44.  6.  7.  1.  0.  5.  0.  7.  0.  5.  2.  3.]
 [ 6.  2.  0.  3. 38. 11.  0.  7.  2.  1.  3.  9. 11.  2.  5.]
 [ 1.  0.  0.  2.  5. 53.  1.  6.  0.  3.  1.  6. 10.  1. 11.]
 [ 4.  0.  0.  0.  6. 14.  9. 40.  0. 11.  2.  9.  1.  1.  3.]
 [ 6.  0.  0.  2.  9.  3.  0. 54.  0.  6.  1. 10.  2.  2.  5.]
 [ 0.  2.  6.  2.  0.  0.  0.  0. 72.  0. 10.  0.  3.  5.  0.]
 [ 4.  0.  0.  0.  9. 14.  3. 36.  0. 29.  0.  3.  0.  1.  1.]
 [ 0. 12.  8.  1.  1.  0.  0.  0. 20.  0. 54.  0.  2.  2.  0.]
 [ 2.  0.  4.  0.  6.  6.  0.  4.  0.  1.  0. 68.  4.  4.  1.]
 [ 2.  3.  1.  1. 10.  6.  0.  5.  1.  0.  1.  8. 50.  0. 12.]
 [ 0.  0.  5.  0.  3.  1.  0.  5.  2.  0.  2.  3.  0. 78.  1.]
 [ 2.  3.  1.  5.  7.  6.  0.  2.  3.  1.  2.  2.  3.  2. 61.]]"
SIFT,100,100,5000,0.5113333333333333,"[[15.  3.  1.  3. 11.  4.  1. 35.  2.  6.  3.  8.  2.  1.  5.]
 [ 5. 55.  0. 10.  0.  1.  0.  1. 12.  0. 14.  0.  2.  0.  0.]
 [ 0.  0. 87.  0.  0.  0.  0.  0.  5.  0.  6.  1.  0.  1.  0.]
 [ 1. 19.  0. 44.  6.  7.  1.  0.  5.  0.  7.  0.  5.  2.  3.]
 [ 6.  2.  0.  3. 38. 11.  0.  7.  2.  1.  3.  9. 11.  2.  5.]
 [ 1.  0.  0.  2.  5. 53.  1.  6.  0.  3.  1.  6. 10.  1. 11.]
 [ 4.  0.  0.  0.  6. 14.  9. 40.  0. 11.  2.  9.  1.  1.  3.]
 [ 6.  0.  0.  2.  9.  3.  0. 54.  0.  6.  1. 10.  2.  2.  5.]
 [ 0.  2.  6.  2.  0.  0.  0.  0. 72.  0. 10.  0.  3.  5.  0.]
 [ 4.  0.  0.  0.  9. 14.  3. 36.  0. 29.  0.  3.  0.  1.  1.]
 [ 0. 12.  8.  1.  1.  0.  0.  0. 20.  0. 54.  0.  2.  2.  0.]
 [ 2.  0.  4.  0.  6.  6.  0.  4.  0.  1.  0. 68.  4.  4.  1.]
 [ 2.  3.  1.  1. 10.  6.  0.  5.  1.  0.  1.  8. 50.  0. 12.]
 [ 0.  0.  5.  0.  3.  1.  0.  5.  2.  0.  2.  3.  0. 78.  1.]
 [ 2.  3.  1.  5.  7.  6.  0.  2.  3.  1.  2.  2.  3.  2. 61.]]"
SIFT,100,200,1000,0.5053333333333333,"[[17.  3.  1.  3.  8.  4.  5. 30.  1.  7.  2.  5.  9.  0.  5.]
 [ 2. 57.  0.  9.  0.  1.  0.  1. 10.  0. 16.  0.  1.  2.  1.]
 [ 0.  0. 86.  0.  0.  0.  0.  0.  3.  0. 10.  0.  0.  1.  0.]
 [ 0. 20.  0. 48.  6.  6.  1.  2.  3.  1.  7.  0.  2.  0.  4.]
 [ 5.  2.  0.  4. 31. 12.  2.  5.  2.  1.  2.  9. 17.  1.  7.]
 [ 3.  0.  0.  3. 10. 54.  2.  5.  0.  3.  0.  3.  5.  0. 12.]
 [15.  0.  0.  0.  6. 15. 13. 30.  0. 12.  1.  3.  2.  1.  2.]
 [ 9.  1.  0.  2.  6.  4.  4. 49.  0. 14.  0.  4.  2.  1.  4.]
 [ 2. 13.  6.  1.  0.  0.  0.  0. 63.  0.  7.  0.  3.  4.  1.]
 [ 5.  0.  0.  0.  6. 12.  7. 22.  0. 42.  0.  4.  0.  1.  1.]
 [ 0. 23.  5.  1.  2.  0.  0.  0. 17.  0. 50.  0.  2.  0.  0.]
 [ 2.  0.  2.  1.  8.  5.  1.  3.  0.  3.  0. 59.  9.  5.  2.]
 [ 3.  4.  1.  3. 10.  7.  1.  1.  1.  1.  1.  7. 50.  0. 10.]
 [ 0.  0.  5.  0.  5.  0.  0.  4.  3.  0.  2.  0.  1. 79.  1.]
 [ 3.  7.  0.  6.  7.  6.  0.  0.  0.  1.  3.  3.  2.  2. 60.]]"
SIFT,100,200,5000,0.5086666666666667,"[[17.  3.  1.  3.  8.  4.  5. 30.  1.  7.  2.  5.  9.  0.  5.]
 [ 2. 58.  0.  7.  0.  1.  0.  1. 11.  0. 15.  0.  1.  3.  1.]
 [ 0.  0. 86.  0.  0.  0.  0.  0.  3.  0. 10.  0.  0.  1.  0.]
 [ 0. 19.  0. 50.  6.  6.  1.  2.  2.  1.  7.  0.  2.  0.  4.]
 [ 5.  3.  0.  4. 31. 12.  2.  5.  2.  1.  2.  9. 16.  1.  7.]
 [ 3.  0.  0.  3. 10. 54.  2.  5.  0.  3.  0.  3.  5.  0. 12.]
 [15.  0.  0.  0.  6. 15. 13. 30.  0. 12.  1.  3.  2.  1.  2.]
 [ 9.  0.  0.  2.  6.  4.  4. 49.  0. 14.  1.  4.  2.  1.  4.]
 [ 2. 10.  6.  2.  0.  0.  0.  0. 61.  0. 11.  0.  3.  4.  1.]
 [ 5.  0.  0.  0.  6. 12.  7. 22.  0. 42.  0.  4.  0.  1.  1.]
 [ 0. 18.  6.  1.  2.  0.  0.  0. 17.  0. 53.  0.  3.  0.  0.]
 [ 2.  0.  2.  1.  8.  5.  1.  3.  0.  3.  0. 59.  9.  5.  2.]
 [ 3.  3.  1.  3. 10.  7.  1.  1.  1.  1.  2.  7. 50.  0. 10.]
 [ 0.  0.  5.  1.  4.  0.  0.  4.  3.  0.  2.  0.  1. 79.  1.]
 [ 3.  4.  0.  7.  8.  6.  0.  0.  0.  1.  3.  3.  2.  2. 61.]]"
SIFT,200,100,1000,0.5366666666666666,"[[20.  0.  1.  3.  9.  4.  7. 29.  1.  6.  1.  8.  4.  3.  4.]
 [ 3. 60.  1.  8.  2.  0.  0.  0. 10.  0. 16.  0.  0.  0.  0.]
 [ 0.  0. 86.  0.  0.  0.  0.  0.  5.  0.  9.  0.  0.  0.  0.]
 [ 0. 14.  0. 50.  8.  8.  1.  0.  4.  0.  6.  0.  1.  3.  5.]
 [ 5.  2.  0.  2. 38. 12.  2.  8.  2.  2.  1.  8.  9.  3.  6.]
 [ 0.  0.  0.  2.  6. 50.  4.  6.  1.  4.  1.  8.  8.  0. 10.]
 [ 8.  0.  0.  1.  5. 12. 27. 26.  0. 11.  1.  6.  1.  1.  1.]
 [12.  0.  0.  1.  6.  5.  5. 47.  1. 11.  0.  6.  1.  1.  4.]
 [ 0.  7.  6.  2.  0.  0.  0.  1. 71.  0.  7.  1.  3.  2.  0.]
 [ 4.  0.  0.  0.  8. 10.  8. 21.  0. 45.  0.  3.  1.  0.  0.]
 [ 0. 20.  6.  0.  3.  0.  0.  0. 19.  0. 48.  1.  1.  2.  0.]
 [ 3.  0.  1.  0.  7.  7.  0.  7.  0.  3.  0. 64.  4.  2.  2.]
 [ 2.  0.  1.  2. 11.  8.  0.  3.  4.  0.  0.  9. 52.  0.  8.]
 [ 0.  1.  3.  0.  3.  1.  0.  3.  1.  0.  3.  2.  0. 82.  1.]
 [ 2.  3.  1.  3.  5.  7.  1.  3.  0.  1.  4.  5.  0.  0. 65.]]"
SIFT,200,100,5000,0.5373333333333333,"[[20.  0.  1.  3.  9.  4.  7. 29.  1.  6.  1.  8.  4.  3.  4.]
 [ 3. 60.  1.  8.  2.  0.  0.  0. 11.  0. 14.  0.  0.  0.  1.]
 [ 0.  0. 86.  0.  0.  0.  0.  0.  5.  0.  9.  0.  0.  0.  0.]
 [ 0. 14.  0. 50.  8.  8.  1.  0.  4.  0.  6.  0.  1.  3.  5.]
 [ 5.  2.  0.  2. 38. 12.  2.  8.  2.  2.  1.  8.  9.  3.  6.]
 [ 0.  0.  0.  2.  6. 50.  4.  6.  1.  4.  1.  8.  8.  0. 10.]
 [ 8.  0.  0.  1.  5. 12. 27. 26.  0. 11.  1.  6.  1.  1.  1.]
 [12.  0.  0.  1.  6.  5.  5. 47.  1. 11.  0.  6.  1.  1.  4.]
 [ 0.  6.  6.  2.  0.  0.  0.  1. 71.  0.  8.  1.  3.  2.  0.]
 [ 4.  0.  0.  0.  8. 10.  8. 21.  0. 45.  0.  3.  1.  0.  0.]
 [ 0. 19.  6.  0.  3.  0.  0.  0. 19.  0. 49.  1.  1.  2.  0.]
 [ 3.  0.  1.  0.  7.  7.  0.  7.  0.  3.  0. 64.  4.  2.  2.]
 [ 2.  0.  1.  2. 11.  8.  0.  3.  4.  0.  0.  9. 52.  0.  8.]
 [ 0.  1.  3.  0.  3.  1.  0.  3.  1.  0.  3.  2.  0. 82.  1.]
 [ 2.  3.  1.  3.  5.  7.  1.  3.  0.  1.  4.  5.  0.  0. 65.]]"
SIFT,200,200,1000,0.54,"[[20.  1.  2.  1.  7.  4.  1. 39.  1.  4.  3.  9.  3.  1.  4.]
 [ 3. 61.  1.  7.  0.  1.  0.  1. 13.  0. 12.  0.  0.  0.  1.]
 [ 0.  0. 86.  0.  0.  0.  0.  0.  5.  0.  8.  0.  0.  1.  0.]
 [ 0. 19.  0. 47.  8.  4.  1.  1.  5.  0.  7.  1.  4.  0.  3.]
 [ 3.  2.  0.  3. 39. 13.  0.  8.  1.  0.  2. 14.  8.  2.  5.]
 [ 2.  0.  0.  2. 11. 58.  0.  4.  1.  2.  1.  6.  5.  0.  8.]
 [ 5.  0.  0.  1.  5.  8.  4. 51.  0. 11.  1. 10.  0.  0.  4.]
 [ 2.  0.  0.  1. 10.  4.  0. 65.  1.  2.  1.  9.  2.  1.  2.]
 [ 0.  5.  6.  1.  0.  0.  0.  0. 75.  0.  7.  0.  3.  3.  0.]
 [ 5.  0.  0.  0.  5. 12.  1. 40.  1. 29.  0.  5.  1.  0.  1.]
 [ 0. 14.  7.  1.  1.  0.  0.  0. 19.  0. 54.  0.  4.  0.  0.]
 [ 1.  0.  3.  0.  5.  7.  0.  6.  0.  1.  0. 71.  3.  2.  1.]
 [ 0.  1.  1.  0. 10.  6.  0.  1.  3.  0.  1.  9. 55.  1. 12.]
 [ 0.  0.  6.  0.  2.  0.  0.  5.  1.  0.  2.  1.  0. 82.  1.]
 [ 2.  2.  1.  3.  6.  8.  0.  4.  2.  0.  5.  2.  0.  1. 64.]]"
SIFT,200,200,5000,0.54,"[[20.  1.  2.  1.  7.  4.  1. 39.  1.  4.  3.  9.  3.  1.  4.]
 [ 3. 61.  1.  7.  0.  1.  0.  1. 13.  0. 12.  0.  0.  0.  1.]
 [ 0.  0. 86.  0.  0.  0.  0.  0.  5.  0.  8.  0.  0.  1.  0.]
 [ 0. 19.  0. 47.  8.  4.  1.  1.  5.  0.  7.  1.  4.  0.  3.]
 [ 3.  2.  0.  3. 39. 13.  0.  8.  1.  0.  2. 14.  8.  2.  5.]
 [ 2.  0.  0.  2. 11. 58.  0.  4.  1.  2.  1.  6.  5.  0.  8.]
 [ 5.  0.  0.  1.  5.  8.  4. 51.  0. 11.  1. 10.  0.  0.  4.]
 [ 2.  0.  0.  1. 10.  4.  0. 65.  1.  2.  1.  9.  2.  1.  2.]
 [ 0.  5.  6.  1.  0.  0.  0.  0. 75.  0.  7.  0.  3.  3.  0.]
 [ 5.  0.  0.  0.  5. 12.  1. 40.  1. 29.  0.  5.  1.  0.  1.]
 [ 0. 14.  7.  1.  1.  0.  0.  0. 19.  0. 54.  0.  4.  0.  0.]
 [ 1.  0.  3.  0.  5.  7.  0.  6.  0.  1.  0. 71.  3.  2.  1.]
 [ 0.  1.  1.  0. 10.  6.  0.  1.  3.  0.  1.  9. 55.  1. 12.]
 [ 0.  0.  6.  0.  2.  0.  0.  5.  1.  0.  2.  1.  0. 82.  1.]
 [ 2.  2.  1.  3.  6.  8.  0.  4.  2.  0.  5.  2.  0.  1. 64.]]"
SIFT,500,100,1000,0.5506666666666666,"[[30.  1.  1.  1. 12.  5.  5. 28.  0.  4.  1.  4.  3.  2.  3.]
 [ 2. 54.  1.  8.  2.  0.  0.  1. 13.  0. 16.  1.  0.  1.  1.]
 [ 0.  0. 88.  0.  0.  0.  0.  0.  7.  0.  4.  0.  0.  1.  0.]
 [ 0. 21.  0. 46.  6.  5.  2.  0.  3.  1.  8.  1.  3.  1.  3.]
 [ 2.  1.  0.  3. 41. 10.  3.  4.  2.  0.  2. 15.  7.  3.  7.]
 [ 3.  0.  0.  2. 11. 54.  3.  6.  1.  1.  0.  5.  5.  0.  9.]
 [ 6.  0.  0.  1.  6. 14. 18. 31.  0. 14.  0.  7.  0.  2.  1.]
 [ 9.  0.  0.  1.  6.  5.  4. 57.  1.  5.  0.  7.  2.  0.  3.]
 [ 0.  7.  5.  1.  0.  0.  0.  0. 76.  0.  7.  1.  1.  2.  0.]
 [ 2.  0.  0.  1.  5.  8.  7. 23.  0. 48.  0.  5.  1.  0.  0.]
 [ 0. 13.  8.  4.  2.  0.  0.  0. 22.  0. 49.  1.  0.  0.  1.]
 [ 1.  0.  2.  0.  3. 10.  1.  6.  1.  1.  0. 67.  4.  2.  2.]
 [ 0.  2.  2.  4.  9.  7.  0.  2.  1.  0.  2.  7. 56.  0.  8.]
 [ 0.  0.  5.  0.  5.  1.  0.  4.  1.  0.  1.  1.  0. 81.  1.]
 [ 2.  1.  0.  4.  8.  5.  0.  2.  0.  0.  5.  6.  3.  3. 61.]]"
SIFT,500,100,5000,0.552,"[[30.  1.  1.  1. 12.  5.  5. 28.  0.  4.  1.  4.  3.  2.  3.]
 [ 2. 56.  1.  8.  2.  0.  0.  1. 13.  0. 14.  1.  0.  1.  1.]
 [ 0.  0. 88.  0.  0.  0.  0.  0.  7.  0.  4.  0.  0.  1.  0.]
 [ 0. 21.  0. 46.  6.  5.  2.  0.  3.  1.  8.  1.  3.  1.  3.]
 [ 2.  1.  0.  3. 41. 10.  3.  4.  2.  0.  2. 15.  7.  3.  7.]
 [ 3.  0.  0.  2. 11. 54.  3.  6.  1.  1.  0.  5.  5.  0.  9.]
 [ 6.  0.  0.  1.  6. 14. 18. 31.  0. 14.  0.  7.  0.  2.  1.]
 [ 9.  0.  0.  1.  6.  5.  4. 57.  1.  5.  0.  7.  2.  0.  3.]
 [ 0.  7.  5.  1.  0.  0.  0.  0. 76.  0.  7.  1.  1.  2.  0.]
 [ 2.  0.  0.  1.  5.  8.  7. 23.  0. 48.  0.  5.  1.  0.  0.]
 [ 0. 13.  8.  4.  2.  0.  0.  0. 22.  0. 49.  1.  0.  0.  1.]
 [ 1.  0.  2.  0.  3. 10.  1.  6.  1.  1.  0. 67.  4.  2.  2.]
 [ 0.  2.  2.  4.  9.  7.  0.  2.  1.  0.  2.  7. 56.  0.  8.]
 [ 0.  0.  5.  0.  5.  1.  0.  4.  1.  0.  1.  1.  0. 81.  1.]
 [ 2.  1.  0.  4.  8.  5.  0.  2.  0.  0.  5.  6.  3.  3. 61.]]"
